Ano,Mes,Dia,Codigo do Item,Ordem de Producao,Horas Totais,Horas Paradas,Horas Efetivas,kg,t/h,Horas OE,Horas Disponiveis,Turno
2024,1,2,11862395,21344088,6.20,3.73,2.47,"75,060",12.11,3.73,5.03,1
2024,1,2,13947175,21344090,0.17,0.00,0.17,"3,000",18.00,0.00,0.17,1
2024,1,2,13947185,21344091,3.40,3.02,0.38,"6,000",1.76,3.02,2.93,1
2024,1,2,13849005,21344089,0.60,0.18,0.42,"15,000",25.00,0.18,0.60,2
2024,1,2,11862265,21344086,3.07,0.75,2.32,"74,725",24.37,0.75,3.07,2
2024,1,2,13947205,21344092,0.17,0.00,0.17,"3,000",18.00,0.00,0.17,2
2024,1,2,13947225,21344093,0.12,0.00,0.12,"1,530",13.11,0.00,0.12,2
2024,1,2,12842125,21344099,1.58,1.25,0.33,"14,940",9.44,1.25,0.58,2
2024,1,2,13947125,21344101,0.23,0.00,0.23,"3,000",12.86,0.00,0.23,2
2024,1,2,12969655,21344100,1.30,0.50,0.80,"6,000",4.62,0.50,1.30,2
2024,1,2,11862285,21344087,2.15,0.82,1.33,"46,025",21.41,0.82,1.83,2
2024,1,3,11862285,21344087,3.68,1.40,2.28,"71,010",19.28,1.40,3.52,1
2024,1,3,12386865,21344106,0.38,0.00,0.38,"6,600",17.22,0.00,0.38,1
2024,1,3,14224515,21344108,0.22,0.00,0.22,"3,000",13.85,0.00,0.22,1
2024,1,3,12474085,21344107,1.80,1.27,0.53,"12,000",6.67,1.27,0.80,1
2024,1,3,11862075,21355523,1.58,1.58,0.00,"1,500",0.95,1.58,1.58,1
2024,1,3,12485595,21358321,2.05,0.85,1.20,"44,700",21.80,0.85,1.67,1
2024,1,3,13931985,21358962,0.80,0.32,0.48,"12,000",15.00,0.32,0.80,2
2024,1,3,11862075,21344085,2.37,0.15,2.22,"74,880",31.64,0.15,2.22,2
2024,1,3,13947175,21359411,0.18,0.00,0.18,"3,000",16.36,0.00,0.18,2
2024,1,3,13947185,21359412,0.27,0.00,0.27,"5,970",22.39,0.00,0.27,2
2024,1,3,11911015,21359405,2.67,0.00,2.67,"71,430",26.79,0.00,2.67,2
2024,1,3,13968575,21359413,0.48,0.00,0.48,"11,910",24.64,0.00,0.48,2
2024,1,3,11867325,21344118,2.47,1.63,0.83,"39,000",15.81,1.63,2.32,2
2024,1,4,11867325,21344118,3.40,0.67,2.73,"116,500",34.26,0.67,3.23,1
2024,1,4,11862195,21351919,0.87,0.37,0.50,"6,000",6.92,0.37,0.87,1
2024,1,4,12680205,21351920,0.52,0.32,0.20,"3,000",5.81,0.32,0.20,1
2024,1,4,14043055,21359414,0.57,0.33,0.23,"3,000",5.29,0.33,0.23,1
2024,1,4,13848975,21351923,0.63,0.00,0.63,"15,000",23.68,0.00,0.63,1
2024,1,4,13736505,21351922,0.28,0.00,0.28,"3,000",10.59,0.00,0.28,1
2024,1,4,11867185,21359404,1.80,0.53,1.27,"39,000",21.67,0.53,1.80,1
2024,1,4,11863585,21359401,1.62,0.92,0.70,"21,840",13.51,0.92,1.62,1
2024,1,4,11863585,21359401,5.67,2.83,2.83,"134,160",23.68,2.83,3.90,2
2024,1,4,13849035,21359410,0.75,0.48,0.27,"3,060",4.08,0.48,0.75,2
2024,1,4,13848995,21359406,0.72,0.33,0.38,"8,970",12.52,0.33,0.72,2
2024,1,4,13849705,21351925,0.17,0.00,0.17,"1,500",9.00,0.00,0.17,2
2024,1,4,13735595,21359436,1.97,1.13,0.83,"6,000",3.05,1.13,1.32,2
2024,1,5,11863585,21368599,9.80,8.07,1.73,"66,000",6.73,8.07,8.63,1
2024,1,5,11863585,21368599,0.50,0.00,0.50,"12,360",24.72,0.00,0.50,2
2024,1,5,11911015,21359784,6.50,1.50,5.00,"149,520",23.00,1.50,6.50,2
2024,1,5,13944935,21376254,0.30,0.00,0.30,"5,940",19.80,0.00,0.30,2
2024,1,5,13849005,21376252,0.33,0.00,0.33,"7,410",22.23,0.00,0.33,2
2024,1,5,12842265,21376251,1.63,1.20,0.43,"15,000",9.18,1.20,0.75,2
2024,1,8,11862995,21376250,2.67,0.37,2.30,"81,990",30.75,0.37,2.30,1
2024,1,8,13935485,21367495,0.47,0.00,0.47,"10,530",22.56,0.00,0.47,1
2024,1,8,11863205,21360786,0.22,0.00,0.22,"3,000",13.85,0.00,0.22,1
2024,1,8,13986725,21374988,0.57,0.00,0.57,"15,390",27.16,0.00,0.57,1
2024,1,8,13599145,21360787,1.48,0.00,1.48,"37,500",25.28,0.00,1.48,1
2024,1,8,12462525,21367494,0.23,0.00,0.23,"1,500",6.43,0.00,0.23,1
2024,1,8,11862205,21360988,2.52,0.50,2.02,"75,210",29.88,0.50,2.52,1
2024,1,8,14022655,21360795,1.22,0.27,0.95,"20,910",17.19,0.27,1.22,1
2024,1,8,14023025,21375053,0.18,0.17,0.02,"1,000",5.45,0.17,0.18,1
2024,1,8,14022605,21360794,0.10,0.00,0.10,"4,500",45.00,0.00,0.10,1
2024,1,8,14022605,21360794,0.68,0.00,0.68,"17,790",26.03,0.00,0.68,2
2024,1,8,14022705,21360796,0.38,0.17,0.22,"5,970",15.57,0.17,0.38,2
2024,1,8,17104405,21360798,0.67,0.42,0.25,"5,200",7.80,0.42,0.67,2
2024,1,8,14240325,21360797,1.07,0.25,0.82,"22,590",21.18,0.25,1.07,2
2024,1,8,11862075,21360987,3.23,1.33,1.90,"74,700",23.10,1.33,2.23,2
2024,1,8,14433515,21367656,0.17,0.00,0.17,"1,020",6.12,0.00,0.17,2
2024,1,8,13936295,21359789,0.72,0.33,0.38,"5,850",8.16,0.33,0.72,2
2024,1,8,11906055,21375249,0.68,0.00,0.68,"15,030",22.00,0.00,0.68,2
2024,1,8,14224515,21385263,1.60,0.40,1.20,"30,000",18.75,0.40,1.45,2
2024,1,9,14205355,21374993,0.97,0.47,0.50,"14,000",14.48,0.47,0.80,1
2024,1,9,14022635,21374991,0.87,0.57,0.30,"4,590",5.30,0.57,0.30,1
2024,1,9,11906175,21383124,1.38,0.00,1.38,"37,680",27.24,0.00,1.38,1
2024,1,9,11867295,21374995,5.65,1.15,4.50,"155,370",27.50,1.15,5.65,1
2024,1,9,11863185,21386099,0.77,0.23,0.53,"14,910",19.45,0.23,0.77,1
2024,1,9,13824055,21374997,0.08,0.00,0.08,"4,500",54.00,0.00,0.08,1
2024,1,9,13824055,21374997,1.60,0.65,0.95,"25,320",15.83,0.65,1.60,2
2024,1,9,11869645,21374996,2.82,0.50,2.32,"75,000",26.63,0.50,2.32,2
2024,1,9,13848975,21374998,1.23,0.17,1.07,"34,440",27.92,0.17,1.23,2
2024,1,9,11869705,21392069,2.15,0.92,1.23,"37,470",17.43,0.92,2.15,2
2024,1,9,11860895,21374989,1.47,0.55,0.92,"16,500",11.25,0.55,0.92,2
2024,1,10,11860895,21374989,1.37,0.65,0.72,"21,090",15.43,0.65,1.20,1
2024,1,10,11863585,21393894,2.53,0.82,1.72,"78,270",30.90,0.82,1.88,1
2024,1,10,13849035,21392072,0.15,0.00,0.15,"4,470",29.80,0.00,0.15,1
2024,1,10,13848995,21392070,0.27,0.00,0.27,"2,970",11.14,0.00,0.27,1
2024,1,10,12663555,21395884,5.18,1.13,4.05,"108,060",20.85,1.13,4.73,1
2024,1,10,13809395,21402116,0.22,0.00,0.22,"2,970",13.71,0.00,0.22,1
2024,1,10,14022975,21376053,0.47,0.32,0.15,"1,000",2.14,0.32,0.15,2
